"filename", "language", "C++", "Markdown", "Makefile", "CMake", "Shell Script", "Batch", "YAML", "HTML", "SCSS", "Python", "comment", "blank", "total"
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock-all.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 4, 47
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock-cardinalities.cc", "C++", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 25, 156
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock-internal-utils.cc", "C++", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 27, 259
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock-matchers.cc", "C++", 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 31, 479
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock-spec-builders.cc", "C++", 522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 90, 793
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock.cc", "C++", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 37, 226
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/src/gmock_main.cc", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 7, 74
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-actions_test.cc", "C++", 1499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 391, 2234
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-cardinalities_test.cc", "C++", 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 90, 425
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-function-mocker_test.cc", "C++", 739, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 182, 999
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-internal-utils_test.cc", "C++", 550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 121, 767
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-matchers-arithmetic_test.cc", "C++", 1159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 287, 1700
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-matchers-comparisons_test.cc", "C++", 1844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 392, 2497
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-matchers-containers_test.cc", "C++", 2586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 292, 569, 3447
"/Users/jackgezalian/Development/C++ Projects/ray_tracer_challenge/_deps/googletest-src/googlemock/test/gmock-matchers-misc_test.cc", "C++", 1419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 289, 1883
